year,month,day,wind_installed_capacity,pv_installed_capacity,csp_installed_capacity,other_re_installed_capacity,total_re_installed_capacity,installed_eskom_capacity
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4596.25
2018,4,15,1474.19,300,21.78,3873.69,44546,4549
2018,4,15,1474.19,300,21.78,3873.69,44546,4464.433
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,15,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4602
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4431
2018,4,16,1474.19,300,21.78,3873.69,44546,4362.75
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,16,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3956.25
2018,4,17,1474.19,300,21.78,3873.69,44546,4655
2018,4,17,1474.19,300,21.78,3873.69,44546,5317
2018,4,17,1474.19,300,21.78,3873.69,44546,5317
2018,4,17,1474.19,300,21.78,3873.69,44546,5317
2018,4,17,1474.19,300,21.78,3873.69,44546,5317
2018,4,17,1474.19,300,21.78,3873.69,44546,5317
2018,4,17,1474.19,300,21.78,3873.69,44546,4677.067
2018,4,17,1474.19,300,21.78,3873.69,44546,3993
2018,4,17,1474.19,300,21.78,3873.69,44546,3970.95
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,17,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3850.9
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3993
2018,4,18,1474.19,300,21.78,3873.69,44546,3899.9
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,18,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
